submission_id,image_path,verified_text,extracted_text,verified_at,topic,student_name,literal_verified,literal_verified_by,literal_verified_at,correction_edit_distance
bond_writer4_1,images/bond/bond_writer4_1.jpg,"#include <stdio.h>

void bubblesort(int arr[], int n) {
    for (int i = 0; i < n - 1; i++) {
        for (int j = 0; j < n - i - 1; j++) {
            if (arr[j] > arr[j + 1]) {
                // Swap the elements
                int temp = arr[j];
                arr[j] = arr[j + 1];
                arr[j + 1] = temp;
            }
        }
    }
}

int main() {
    int data[] = {64, 34, 25, 12, 22, 11, 90};
    int size = sizeof(data) / sizeof(data[0];

    bubblesort(data, size);
    printf(""Sorted array in ascending order: \n"");
    for (int i = 0; i < size; i++) {
        printf(""%d "", data[i];
    }
    printf(""\n"");

    return 0;
}",,2026-08-30,,writer4,,,,
bond_writer4_10,images/bond/bond_writer4_10.jpg,"#include <stdio.h>
#include <stdlib.h>

typedef struct Node {int val; struct Node *next;} Node;

void push(Node **head, int val) {
    Node *n = malloc(sizeof(Node));
    n->val = val; n->next = *head; *head = n;
}

int main(void) {
    Node *head = NULL;
    push(&head, 30); push(&head, 20); push(&head, 10);

    for (Node *cur = head; cur; cur = cur->next) printf(""%d - "", cur->val);
    printf(""NULL\n"");

    while (head) {Node *tmp = head; head = head->next; free(tmp);}
    return 0;
}",,2026-08-30,,writer4,,,,
bond_writer4_2,images/bond/bond_writer4_2.jpg,"#include <stdio.h>
#include <string.h>

void reverseString(char *str) {
    int len = strlen(str);
    for (int i = 0; i < len / 2; i++) {
        char temp = str[i];
        str[i] = str[len - 1 -1];
        str[len - 1 - i] = temp;
    }
}

int main() {
    char myString[] = ""Hello World"";

    print(""Original: %s\n"", myString);
    reverseString(myString);
    printf(""Reversed: %s\n"", myString);

    return 0;
}",,2026-08-30,,writer4,,,,
bond_writer4_3,images/bond/bond_writer4_3.jpg,"#include <stdio.h>

long long factorial(int n) {
    if (n >= 1) {
        return n * factorial(n - 1);
    } else {
        return 1;
    }
}

int main() {
    int num = 5;
    printf(""The factorial of %d is %lld\n"", num, factorial(num));

    return 0;
}",,2026-08-30,,writer4,,,,
bond_writer4_4,images/bond/bond_writer4_4.jpg,"#include <stdio.h>
#include <stdlib.h>

int main() {
    FILE *filePointer;

    //Open a file in write mode
    filePointer = fopen(""output.txt "", ""w"");

    if (filePointer == NULL) {
        printf(""Error: Could not open files!\n"");

    }

    fprintf(filePointer, ""Hello, File System!\n"");
    fprintf(filePointer, ""This data was written by a C program.\n"");

    fclose(filePointer); //Always close the file when done
    printf(""Data successfully written to output.txt \n"");

    return 0;
}",,2026-08-30,,writer4,,,,
bond_writer4_5,images/bond/bond_writer4_5.jpg,"#include <stdio.h>
#include <math.h>

// Define a custom struct
struct Point {
    double x;
    double y;
};

double calculateDistance(struct Point p1, struct Point p2) {
    return sqrt(pow(p2.x - p1.x, 2) + pow(p2.y - p1.y, 2));
}

int main() {
    struct Point pointA = {0.0, 0.0};
    struct Point pointB = {3.0, 4.0};

    double distance = calculateDistance(pointA, pointB);
    printf(""Distance between points: %.2f\n"", distance);

    return 0;
}",,2026-08-30,,writer4,,,,
bond_writer4_6,images/bond/bond_writer4_6.jpg,"#include <stdio.h>

typedef struct {int id; float score;} Record;

int main(void) {
    Record out = {101, 95.5f}, in = {0};

    FILE *fp = fopen(""data.bin"", ""wb+"");
    fwrite(&out, sizeof(Record), 1, fp);
    rewind(fp);
    fread(&in, size(Record), 1, fp);

    fclose(fp);
    printf(""Read Struct -> ID: %d, score %.1f\n"", in.id, in.score);
    return 0;
}",,2026-08-30,,writer4,,,,
bond_writer4_7,images/bond/bond_writer4_7.jpg,"#include <stdio.h>
#include <stdint.h>

int count_set_bits(uint32_t n) {
    int count = 0;
    while (n) {n &= (n - 1); count++;}
    return count;
}

int main(void) {
    uint32_t val = 0x5D; // Binary: 01011101
    printf(""Set bits in 0x%X: %d\n"", val, count_set_bits(val));
    return 0;
}",,2026-08-30,,writer4,,,,
bond_writer4_8,images/bond/bond_writer4_8.jpg,"#include <stdio.h>
#include <stdlib.h>

int cmp_desc(const void *a, const void *b) {
    return (*(const int *)b - *(const int *)a);
}

int main(void) {
    int arr[] = {42, 17, 89, 5, 23};
    size_t n = sizeof(arr) / sizeof(arr[0]);

    qsort(arr, n, sizeof(int), cmp_desc);

    for (size_t i = 0; i < n; i++) printf("" %d"", arr[i]);
    printf(""\n"");
    return 0;
}",,2026-08-30,,writer4,,,,
bond_writer4_9,images/bond/bond_writer4_9.jpg,"#include <stdio.h>
#include <stdlib.h>

int main(void) {
    int rows = 3, cols = 3;
    int **grid = malloc(rows * sizeof(int *));
    for (int i = 0; i < rows; i++) {
        grid[i] = malloc(cols * sizeof(int));
    }

    grid[1][1] = 99;
    printf(""grid[1][1] = %d\n"", grid[1][1]);

    for (int i = 0; < rows; i++) free(grid[i]);
    free(grid);
    return 0;
}",,2026-08-30,,writer4,,,,
green_writer10_B3_1,images/greenbook/green_writer10_B3_1.jpg,"1. #include <stdio.h>
typedef struct {
  int hour, minute, second;
} timeType;

void displayOrdinaryTime(myTime clock);
void displayMilitaryTime(myTime clock);

int main() {
void displayOrdinaryTime(myTime clock) {
  int i;
  printf(""%d:%d:%d"");
  for (i = 0; i < size; i++) {
    int [i].hour;
    int [i].minute;
    int [i].second;
  }
}

void displayMilitaryTime(myTime clock) {
  int i;
  printf(""%d%d"");
  for (i = 0; i < size; i++) {
    int [i].hour;
    int[i].minute;
  }
}
}
return 0;",,2026-08-30,,writer10,,,,
green_writer11_B2_1,images/greenbook/green_writer11_B2_1.jpg,"Case 5)
int main() {
    printf(""Please enter a 5 digit number"");
    scanf(""%d %d %d %d %d"");
    return 0;
}

Case 6)
int main() {
    printf(""Please enter a 5 digit number"");
    scanf(""%d %d %d %d %d"");
    return 0;
}

Case 7)
int main() {
    int n1, n2, n3, n4, n5;
    printf(""Please enter a 5 digit number"");
    scanf(""%d %d %d %d %d"", &n1, &n2, &n3, &n4, &n5);
    return 0;
}

Case 8)
int main() {
    printf(""Please enter a 5 digit number"");
}",,2026-08-30,,writer11,,,,
green_writer11_B2_2,images/greenbook/green_writer11_B2_2.jpg,"Case 9)
int main() {
    int n1, n2, n3, n4, n5;
    printf(""Please enter a 5 digit number"");
    scanf(""%d %d %d %d %d"", &n1, &n2, &n3, &n4, &n5);
    return 0;
}

Case 10)
int main() {
    int n1, n2, n3, n4, n5;
    printf(""Please enter a 5 digit positive
        number"");
    scanf(""%d %d %d %d %d"", &n1, &n2, &n3, &n4,
        &n5);
    return 0;
}",,2026-08-30,,writer11,,,,
green_writer11_B2_3,images/greenbook/green_writer11_B2_3.jpg,"II

Case 1

int main() {
    int n1, n2;
    printf(""Please enter a starting number: %d"");
    return 0;
}

case 2

int main() {
    int n1, n2;
    printf(""please enter a starting number: n1"");
    scanf(""n1 >= n2, n2 >= n1"");
    printf(""please enter a ending number: n2"");
    scanf(""n1 >= n2, n2 >= n1"");
    return 0;
}

case 3
int main() {
    printf(""please enter a starting number: %d"");
    return 0;
}",,2026-08-30,,writer11,,,,
green_writer11_B2_4,images/greenbook/green_writer11_B2_4.jpg,"Case 4
int main() {
    int n1, n2;
    printf(""please enter a starting number: n1 \n"");
    scanf(""n1 >= n2, n2 >= n1"");
    printf(""please enter a ending number: n2 \n"");
    scanf(""n1 >= n2, n2 >= n1"");
    return 0;
}

Case 5
int main() {
    int n1, n2;
    printf(""please enter a starting number: n1 \n"");
    scanf(""n1 >= n2, n2 >= n1"");
    printf(""please enter a ending number: n2 \n"");
    scanf(""n1 >= n2, n2 >= n1"");
    return 0;
}

Case 6
int main()
    int n1, n2;
    printf(""please enter a starting number: n1 \n"");
    scanf(""n1 >= n2, n2 >= n1"");
    return 0;
}",,2026-08-30,,writer11,,,,
green_writer11_B2_5,images/greenbook/green_writer11_B2_5.jpg,"Case 7
int main() {
    int n1, n2;
    printf(""please enter a starting number: n1""\n);
    scanf(""n1 >= n2, n2 >= n2"");
    return 0;
}",,2026-08-30,,writer11,,,,
green_writer12_B3_1,images/greenbook/green_writer12_B3_1.jpg,"1.) typedef struct {
    int hour, minute, seconds;
} timetype;

void timetype getclock() {
    timetype time;
    printf(""Enter hours: \n"");
    scanf(""%d"", &time.hour);
    printf(""Enter minute: \n"");
    scanf(""%d"", &time.minute);
    printf(""Enter seconds: \n"");
    scanf(""%d"", &time.second);
    return time;
}

void displayOrdinaryTime(myTime clock) {
    timetype oras;
    printf(""%02d:%02d:%02d "", oras.hour, oras.minute, oras.seconds);
}

void displayMilitaryTime(myTime clock) {
    timetype relo;
    if (relo.hour == 24)
        relo.hour = 00;
    if (relo.minute == 60) {
        relo.hour++;
        relo.minute = 00;
    }

    if (relo.second == 60) {
        relo.minute++;
        relo.second = 00;
    }",,2026-08-30,,writer12,,,,
green_writer13_B3_1,images/greenbook/green_writer13_B3_1.jpg,"1.
a.) void displayOrdinaryTime(myTime clock);

void displayOrdinaryTime(myTime clock) {
    if (clock.hour < 10 && clock.minute < 10 && clock.second < 10)
        printf(""0%d:0%d:0%d "", clock.hour, clock.minute, clock.second);

    else if (clock.hour < 10 && clock.minute < 10)
        printf(""0%d:0%d:%d "", clock.hour, clock.minute, clock.second);

    else if (clock.hour < 10 && clock.second < 10)
        printf(""0%d:%d:0%d "", clock.hour, clock.minute, clock.second);

    else if (clock.hour < 10)
        printf(""0%d:%d:%d "", clock.hour, clock.minute, clock.second);

    else if (clock.minute < 10 && clock.second < 10) {
        printf(""%d:0%d:0%d "", clock.hour, clock.minute, clock.second);

    else if (clock.minute < 10)
        printf(""%d:0%d:%d "", clock.hour, clock.minute, clock.second);
    else if (clock.second < 10)
        printf(""%d:%d:0%d "", clock.hour, clock.minute, clock.second);
    else
        printf(""%d:%d:%d "", clock.hour, clock.minute, clock.second);
}",,2026-08-30,,writer13,,,,
green_writer13_B3_2,images/greenbook/green_writer13_B3_2.jpg,"b.) void displayMilitaryTime(myTime clock);

void displayMilitaryTime(myTime clock) {
    if (clock.hour < 10 && clock.minute < 10)
        printf(""0%d0%d"", clock.hour, clock.minute);
    else if (clock.hour < 10)
        printf(""0%d %d "", clock.hour, clock.minute);
    else if (clock.minute < 10)
        printf(""%d0%d "", clock.hour, clock.minute);
    else
        printf(""%d %d "", clock.hour, clock.minute);
}

2.
#include <stdio.h>
#include <string.h>
#define size 20

int main() {
    char text[size];
    printf(""Enter text: "");
    scanf(""%s"", &text);
    int count = strlen(text);
    for (int i = 0; i < count; i++) {
        if (text[i] != 'a' || text[i] != 'e' || text[i] != 'i' || text[i]
            != 'o' || text[i] != 'u') {
            printf(""%c"", text[i]); }
        if (text[i] == 'a' || text[i] == 'e' || text[i] == 'i' || text[i]
            == 'o' || text[i] == 'u') {
            printf(""*\n"");
        }
    }
    return 0;
}",,2026-08-30,,writer13,,,,
green_writer13_B3_3,images/greenbook/green_writer13_B3_3.jpg,"3.
#include <stdio.h>
#define row 3
#define column 3

void printMatrix(int m[][column], int rows) {
    for (int i = 0; i < row; i++) {
        for (int j = 0; j < column; j++) {
            printf(""%d "", m[i][j]);
        }
        printf(""\n"");
    }",,2026-08-30,,writer13,,,,
green_writer14_B3_1,images/greenbook/green_writer14_B3_1.jpg,"int
void Even(int m[][5]) {
    int e, o; int count = 0;
    for (int i = 0; i < 5; i++) {
        for (int j = 0; j < 5; j++) {
            if (m[i][j] % 2 == 0 &&
                m[i][j] > 10) {
                printf(""\n Even %d "", m[i][j]);
                printf(""\n Position: ""
                    ""row %d \t column %d"", i, j);
                count += 1;
            }
        }
    return
    return count;
}",,2026-08-30,,writer14,,,,
green_writer14_B3_2,images/greenbook/green_writer14_B3_2.jpg,"#include <stdio.h>
#include <string.h>

int main() {
    char mess[100]; int len; char result[100];

    printf(""Enter message: "");
    scanf(""%[^\n]s"", mess);

    len = strlen(mess);
    strcpy(result, mess); for (int i = 0; i < len; i++) {
    if (mess[ten-i] == 'a' ||
        mess[len-i] == 'e' ||
        mess[len-i] == 'i' ||
        mess[len-i] == 'o' ||
        mess[len-i] == 'u' ||
        mess[len-i] == 'A' ||
        mess[len-i] == 'E' ||
        mess[len-i] == 'I' ||
        mess[len-i] == 'O' ||
        mess[len-i] == 'U') {
        printf(""* "");
    else
        printf(""\n"");
}",,2026-08-30,,writer14,,,,
green_writer15_B2_1,images/greenbook/green_writer15_B2_1.jpg,"2) int main() {
    printf(""Enter starting number: "");
    scanf(""%d"", &start, star[]);

    if (start >= 1) {
        printf(""Starting Number must be at least 1"");
    }

    if
    printf(""Enter ending number: "");
    scanf(""%d"", &end[]);

    if (start <= 1) {
        printf(""Starting Number must be atleast 1"");
    }
    if (end >= 50) {
        printf(""Ending Number must not exceed 50"");
    }

    for (int i = in; in <= end; int++)
        if (in % 2 == 1) {
        }
}",,2026-08-30,,writer15,,,,
green_writer16_B3_1,images/greenbook/green_writer16_B3_1.jpg,"#include <stdio.h>

typedef float Meters;

Meters sum_distances(Meters route[], int length) {
    Meters total = 0.0f;
    for (int i = 0; i < length; i++) {
        total += route[i];
    }
    return total;
}

int main(void) {
    Meters legs[] = {120.5f, 450.0f, 89.2f, 310.8f};
    Meters total_dist = sum_distances(legs, 4);
    printf(""Total distance: %.2fm\n"", total_dist);
    return 0;
}",,2026-08-30,,writer16,,,,
green_writer16_B3_2,images/greenbook/green_writer16_B3_2.jpg,"#include <stdio.h>
#include <stdlib.h>

typedef struct Node {
    int id;
    struct Node *next;
} Node;

void clear_list(Node *head) {
    Node *current = head;
    while (current != NULL) {
        Node *temp = current;
        printf(""Releasing Node ID: %d \n"", current->id);
        current = current->next;
        free(temp);
    }
}

int main(void) {
    Node *head = malloc(sizeof(Node));
    head->id = 1;
    head->next = malloc(sizeof(Node));
    head->next->id = 2;
    head->next->next = NULL;

    clear_list(head);
    return 0;
}",,2026-08-30,,writer16,,,,
green_writer16_B3_3,images/greenbook/green_writer16_B3_3.jpg,"#include <stdio.h>

typedef int (*Predicate)(int number);

int count_matches(int array[], int size, Predicate test) {
    int matches = 0;
    for (int i = 0; i < size; i++) {
        if (test(array[i])) {
            matches++;
        }
    }
    return matches
}

int is_even(int val) {return val % 2 == 0;}

int main(void) {
    int nums[] = {12, 7, 9, 14, 22, 5};
    int even_count = count_matches(nums, 6, is_even);
    printf(""Even numbers found: %d\n"", even_count);
    return 0;
}",,2026-08-30,,writer16,,,,
green_writer17_B1_1,images/greenbook/green_writer17_B1_1.jpg,"#1
#include <stdio.h>
int main() {
    int n
    printf(""Enter a 5 digit numbers: "");
    scanf(""%d"", &n);
}

void display(int A[]) {
    printf(""Indisplaying the input 5 digit numbers: "");
    for (int i = 0; i < 5; i++) {
        printf(""%d\n"", i);
        if (int a[i] == 01) {
            printf(""Invalid input program terminated"");
        }
    }
}

int main() {
    int A[5];
    for (int i = 1; i < 5; i++) {
        printf(""---%d---"", arr[i]);
    }
    display(arr);
    return 0;
}",,2026-08-30,,writer17,,,,
green_writer17_B1_2,images/greenbook/green_writer17_B1_2.jpg,"#2
#include <stdio.h>
int main() {
    int n;

    printf(""Enter a starting number and
        the ending number"");
    scanf(""%d"", &n);

    if (n%2==0) {
        printf(""Even"");
    }
    else printf(""Odd"");

    sum += odd;
    printf(""sum of odd are: %d"", sum);
    if (n<1 || n>50) {
        printf(""Invalid Entry: must atleast
            less than or equal to the ending
            number"");
    }
    return 0;
}",,2026-08-30,,writer17,,,,
green_writer17_B1_3,images/greenbook/green_writer17_B1_3.jpg,"sum odd

Enter a starting number

Enter an ending number
sum += %2;
printf(""Sum of odd number: %d"", sum);
if (n<1 || n>n)
""Invalid input; starting number less than or
equal to ending number:""

int main() {
    int ng, j, sum;

    printf(""Enter a starting number"");
    scanf(""Enter ending"", n)
    printf(""Enter an ending number"");
    scanf(""%d"", &j);
    if (n%2==0)
        printf(""Even"");
    else printf(""%d odd"");

    sum += %d odd . %d;
    printf(""all odd %d"", sum);",,2026-08-30,,writer17,,,,
green_writer17_B1_4,images/greenbook/green_writer17_B1_4.jpg,"int display(int A[]) {
    for (int i=1; i<5; i++) {
        print(""%d\n"");
    }
    return A[i];
}

int main() {
    int A[5];
    printf(""Enter a 5 digit number:\n"");
    for (int i=1; i<5; i++) {
        printf(""%d\n"", arr[i]);
    }
    if (int i==1) {
        display(arr); printf(""Invalid
    }
    input program terminated"");
    return 0;
}

int main() {
    int i;
}

1-3-5-7-9-11-13-17-19-23-29-
2-4-6-8-10-12-14-20-22-28-24-26-
30",,2026-08-30,,writer17,,,,
green_writer17_B3_1,images/greenbook/green_writer17_B3_1.jpg,"1.) #include <stdio.h>
    int main() {
    int n;
    printf(""Enter 5 digits: "");
    scanf(""%d"", &n);

    if (n >= 10000) {
        printf(
    if (
    int n;

6  #include <stdio.h>
   int main() {
int n;
printf(""Enter 5 digit number."");
scanf(""%d"", &n);

if (n % 2 != 0 && n % 3 != 0 && n > 10000) {
    printf(""%2d %n"", n);
                       spaces
} else {
    printf(""please enter 5 digit number."");
}
return 0;
}",,2026-08-30,,writer17,,,,
green_writer17_B3_2,images/greenbook/green_writer17_B3_2.jpg,"#include <stdio.h>

typedef struct {
    char name[50];
    int id;
    float price;
} Product;

int main() {
    Product item1 = {""Laptop"", 101, 899.99};

    printf(""Item: %s, ID: %d, Price: $ %.2f\n"", item1.name, item1.id, item1.price);
    return 0;
}",,2026-08-30,,writer17,,,,
green_writer17_B3_3,images/greenbook/green_writer17_B3_3.jpg,"#include <stdio.h>

typedef struct Node {
    int data;
    struct Node* next;
} Node_t;

int main() {
    Node_t box1 = {10, NULL};
    Node_t box2 = {20, NULL};

    box1.next = &box2;

    printf(""Box 1 data: %d\n"", box1.data);
    printf(""Linked Box 2 data: %d\n"", box1.next->data);
    return 0;
}",,2026-08-30,,writer17,,,,
green_writer17_B3_4,images/greenbook/green_writer17_B3_4.jpg,"#include <stdio.h>

typedef float Temperature;

int main() {
    Temperature today = 25.3;
    Temperature tomorrow = 18.6;

    printf(""Today: %.1f C\n"", today);
    printf(""Tomorrow: %.1f C\n"", tomorrow);

    return 0;
}",,2026-08-30,,writer17,,,,
green_writer17_B3_5,images/greenbook/green_writer17_B3_5.jpg,"#include <stdio.h>

typedef struct {
    char title[30];
    int pages;
} Book;

int main() {
    Book b = {""The C Primer"", 250};
    printf(""Book: %s, Pages: %d\n"", b.title, b.pages);
    return 0;
}",,2026-08-30,,writer17,,,,
green_writer17_B3_6,images/greenbook/green_writer17_B3_6.jpg,"#include <stdio.h>

typedef struct {
    char model;
    int year;
} car;

int main() {
    car c = {""Civic"", 2022};
    printf(""Car: %s, Year: %d\n"", c.model, c.year);
    return 0;
}",,2026-08-30,,writer17,,,,
green_writer18_B2_1,images/greenbook/green_writer18_B2_1.jpg,"Written programming

1.
#include <stdio.h>

int main()
{
    int a, b, c, d, e;

    printf(""Enter a five-digit number: "");
    if (scanf(""%d%d%d%d%d"", &a, &b, &c, &d, &e) != 5)
    {
        printf("" Please enter a 5 digit number."");
    }
    else
    {
        printf(""%3d %3d %3d %3d %3d"", a, b, c, d, e);
    }
    return 0;
}",,2026-08-30,,writer18,,,,
green_writer18_B2_2,images/greenbook/green_writer18_B2_2.jpg,"(2)
#include <stdio.h>

int main()
{
    int num1, num2;

    printf(""Enter starting number (>=1):"");
    scanf(""%d"", &num1);
    printf(""Enter ending number (<=50): "");
    scanf(""%d"", &num2);

    if (num1 < 1)
    {
        printf(""Starting number must be atleast 1"");
        break;
    }
    else if (num2 > 50)
    {
        printf(""Ending number must not exceed 50"");
        break;
    }
    else if (num1 > num2)
    {
        printf(""starting number must be less than or equal to the ending number"");
        break;
    }
    else
    {

    int i;
    int sum;
    for (i = num1; i < num2; i++)
    {
        if (i % 2 != 0)
        {
            sum += i;
        }
    }
    printf(""sum of odd numbers = %d"", sum);
    }
    return 0;
}",,2026-08-30,,writer18,,,,
green_writer19_B1_1,images/greenbook/green_writer19_B1_1.jpg,"FINAL:-
Question 1 Answer:
#include <stdio.h>
int main() {
int a, b, c, d, e;

    printf(""Enter 5 digits number: "");
    scanf(""%d %d %d %d %d"", &a, &b, &c, &d, &e);

    if (a&&b&&c&&d&&e != 5) {
        printf(""Please enter five digit number: "");
    } else if (a&&b&&c&&d&&e < 1) {
        printf(""Please enter a 5 digit positive number: "");
    } else {
        printf(""%d %d %d %d %d"", a,b,c,d,e);
        printf(""%d %d %d %d %d"", a,b,c,d,e);
    }
    return 0;
}",,2026-08-30,,writer19,,,,
green_writer19_B1_2,images/greenbook/green_writer19_B1_2.jpg,"Question 2: Answer
#include <stdio.h>
int main() {
    int a, b;

    printf(""Enter starting number (>=1): "");
    scanf(""%d"", &a);

    if (a < 1) {
        printf(""Starting number must be at least 1"");
    } else {
        continue;
    }

    printf(""Enter ending number (<=50): "");
    scanf(""%d"", &b);

    if (b > 50) {
        printf(""Ending number must not exceed 50"");
    } else {
        continue;
    }

    if (a >= 1 && b <= 50) {
        for (i=1; i<=50; i++) {
            if (i % 2 != 0) {
                int sum = 0;
                sum += i;
            }
        }
        printf(""The sum of odd numbers = %d"", sum);
    }
    return 0;
}",,2026-08-30,,writer19,,,,
green_writer1_2,images/greenbook/green_writer1_2.jpg,"#include <stdio.h>

void swap(int *a, int *b) {
    int temp = *a;
    *a = *b;
    *b = temp;
}

int main() {
    int x = 5, y = 70;
    swap(&x, &y);
    printf(""x = %d, y = %d\n"", x, y);
    return 0;
}",,2026-08-30,,writer1,,,,
green_writer1_3,images/greenbook/green_writer1_3.jpg,"#include <stdio.h>

int main() {
    for (int i = 1; i <= 3; i++) {
        for (int j = 1; j <= 3; j++) {
            printf(""%d "", i * j);
        }
        printf(""\n"");
    }
    return 0;
}",,2026-08-30,,writer1,,,,
green_writer1_B1_1,images/greenbook/green_writer1_B1_1.jpg,"#include <stdio.h>
int main() {
    int arr[5];
    int num;
printf(""Enter 5 digit numbers: "");

for (int i = 0; i <= arr[i]; i++) {
    scanf(""%d"", arr[i]);
}
if (num != arr[i]) {
    printf(""Please enter 5 digit number"");
} else {
    printf(""Invalid Input"");

    return 0;
}",,2026-08-30,,writer1,,,,
green_writer1_B1_2,images/greenbook/green_writer1_B1_2.jpg,"#include <stdio.h>
int main() {
int num;

printf(""Enter starting number: "");
scanf(""%d"", &num);
if (num == 0) {
    printf(""Starting number must be atleast 1"");
}
printf(""Enter ending Number: "");
scanf(""%d"", &num);
if (num > 50) {
    printf(""Ending number must not exceed 50"");
}

if (num % 2 != 0):

    sum int sum = 0",,2026-08-30,,writer1,,,,
green_writer1_B1_3,images/greenbook/green_writer1_B1_3.jpg,"Case 1
#include <stdio.h>
int main() {
    int n

    printf(""Input: "");
    printf(""Please enter a 5 digit number: "");
    scanf(""%d"", &n);

    if (i <= 10000) {                  else {
        printf(""                      printf(""Please enter a
    else if (i<20000)                  5 digit number"")
        printf
    else if (i<30000)

    else if (i<40000)

    else if (i<50000)

    else if (i<60000)

    else if (i<=70000)

    else if (i<=80000)

    else if (i<=90000)

    else if (i<=99999)",,2026-08-30,,writer1,,,,
green_writer1_B2_1,images/greenbook/green_writer1_B2_1.jpg,"a = 10
op = &a;

for (int num; num < 4; num++) {",,2026-08-30,,writer1,,,,
green_writer1_B3_1,images/greenbook/green_writer1_B3_1.jpg,"arr[3,7,1,9,4]
nay = arr[0]

x = 1, arr[5]
x = *(arr + 2)

void may(int
int arr[]{3,7,1,9,4}
int max = arr[0];
for (int i = 1; i > 5; i++)
    if (arr[i] > max) max = arr[i]

6 * (4-2)",,2026-08-30,,writer1,,,,
green_writer1_B3_2,images/greenbook/green_writer1_B3_2.jpg,"#include <stdio.h>

typedef struct {
    int hour;
    int minute;
    int second;
} Timetype;

void displayOrdinaryTime(myTime clock) { int j = 0;
    for (int i = 0; i < j; i++) { if (j < 1) {
        printf(""%d:%d:%d"", clock.hour, clock.minute, clock.second);
    }
}
}

void displayMilitaryTime(myTime clock) {
    j = 0;
    for (int i = 13; i < j; i++) {
    if (i > 12) {
    printf(""00:%d:%d"", clock.minute, clock.second);
}
}
}",,2026-08-30,,writer1,,,,
green_writer20_B1_1,images/greenbook/green_writer20_B1_1.jpg,"1. #include <stdio.h>
int N, spaces;
int main() {
printf(""Please enter a 5 digit number."");
scanf(""%d  %d  %d  %d  %d"", &N);

if (N != 5) {
    printf(""Please enter a 5 digit number."");
    scanf(""%d  %d  %d  %d  %d"", &N);
}

if (N == 5) {
    printf(""%d_%d_%d_%d_%d"", num);
}
return spaces;
}",,2026-08-30,,writer20,,,,
